	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
통탄하다	자신의 그릇된 과거를 통탄했다.	통탄했다	의욕만 앞선 지도자는 통탄할 만큼 무지했다. 	통탄할	장기적으로 보았을 때 통탄하기 짝이 없는 일이었다. 	통탄하기	아버지의 과오를 통탄하는 자식이라니. 안타깝지만 그의 속죄는 이루어질 리가 없는 것이었다.	통탄하는	팍팍한 현실에 대해 통탄하기도 하며 안부를 묻는 사이가 몹시 마음에 들었다.	통탄하기도	사회의 한계점에 대해 통탄하는 것에서 그치지 않고 개선해야 한다.	통탄하고
진노하다	왕은 충신의 배신에 진노하였다. 	진노하였다	진노한 왕의 추적을 피해 시골에 숨었다. 	진노한	크게 진노하여 쩌렁쩌렁하게 고함을 외쳤다.	진노하여	그는 범죄를 저지른 후에 터무니없는 논리를 내세웠고 이에 진노한 많은 사람들에게 비난받았다. 	진노한	극단적인 상황에 몰린 그는 진노하며 주변 사람들에게 책임을 돌리려고 했다.	진노하며	크게 진노해 하고 싶은 대로 하라며 모든 지원을 끊겠다고 소리쳤다.	진노해
고적하다	반기는 이 하나 없는 집은 고적했다.	고적했다	고적한 늙은이를 아껴줘서 고마워요.	고적한	연락을 주고받는 이 하나 없이 고적하게 지낸 지 오래되었다.	고적하게	여러 의혹이 둘러싸고 있는 그 논제에 대해 그녀는 애써 관심을 두지 않으려는 듯 고적하고 있었다.	고적하고	주변의 조언에 고적한 태도를 유지하며 노력하는 모습이라고는 찾아볼 수 없었다.	고적한	고적하게 느껴질 수 있는 일생이 나에게 가장 평화롭고 알맞았다. 	고적하게
담담하다	모든 슬픔을 받아내는 호수는 항상 담담했다.	담담했다	친구의 담담한 모습에 되려 안심이 되었다. 	담담한	허리를 꼿꼿히 펴고 담담하게 대답했다. 	담담하게	담담한 표정으로 마저 짐을 챙겼다.	담담한	상주는 옷자락을 붙잡으며 숨이 넘어갈 듯 우는 친척들 앞에서도 담담했다. 	담담했다	담담하게 자신에게 주어진 일을 해내는 모습이야말로 성숙해 보였다.	담담하게
덤덤하다	쏟아지는 구애에도 아무 관심이 없다는 듯 덤덤했다. 	덤덤했다	오랜만에 만난 정인임에도 덤덤한 표정이었다.	덤덤한	충격을 받을 법 한데도 몹시도 덤덤하게 받아들였다. 	덤덤하게	그의 덤덤한 태도가 그녀의 화를 더욱 북돋았다.	덤덤한	모순적이게도 지도자의 덤덤한 반응이 주변 사람들을 안심시켰다. 	덤덤한	그의 대답은 상황에 걸맞지않게 덤덤해 되려 황당했다.	덤덤해
무덤덤하다	감정이 메말랐는지 어떤 사랑 이야기를 들어도 무덤덤하다. 	무덤덤하다	비난받을 꼬투리를 주기 싫어 겉으로는 무덤덤한 태도를 유지했다. 	무덤덤한	예민할수록 더욱 무덤덤하게 굴었다. 	무덤덤하게	그 군주는 온갖 산해진미를 대령해도 무덤덤한 표정이었다.	무덤덤한	무덤덤한 표정으로 담백한 감사인사를 건네는 그를 보면 내가 다 뻘줌했다.	무덤덤한	깜짝 선물을 줘도 무덤덤한 반응을 보여서 실망했던 적이 한 두번이 아니다.	무덤덤한
송연하다	나뒹구는 죽음이 나에게도 올 수 있었다는 생각만 해도 송연했다. 	송연했다	송연함에 문이 확실히 잠겼는지 재차 확인했다.	송연함	구석에서 찾은 공포 이야기집은 모골이 송연하도록 무서웠다. 	송연하도록	간만에 번잡한 도시를 떠나 자연의 송연함을 만끽했다.	송연함	숲 속 도서관만의 송연함은 나를 평안하게 해 준다.	송연함	그녀는 해가 까무룩 넘어가는 풍경을 바라보며 송연한 시간을 즐겼다.	송연한
숙연하다	전염병으로 인해 마을 전체가 숙연했다.	숙연했다	숙연한 침묵 속에서, 천진난만한 아이의 질문이 겉돌았다.	숙연한	발표자의 고백은 청중을 숙연하게 만들었다. 	숙연하게	숙연한 표정으로 주변의 눈치를 살폈다.	숙연한	그녀는 체념했다는 듯 숙연한 눈빛으로 고개를 끄덕일 뿐이었다. 	숙연한	그녀의 냉담한 반응에 지켜보는 이들이 다 숙연했다.	숙연했다
심심하다	일상이 더없이 무료하고 심심했다.	심심했다	심심한 사과의 말씀도 함께 전하셨습니다.	심심한	어렸을 적 심심하여 얄궃은 장난을 치곤 했다. 	심심하여	심심함을 벗어나려는 의지보다 그저 누워있고만 싶었다.	심심함	심심하게 흘려보내는 시간이 아깝게 느껴질 때 쯤이면 밖으로 나가 책 한 권을 샀다.	심심하게	심심하던 차에 온 친구의 연락은 더욱 반가웠다. 	심심하던
애잔하다	공허하게 창문을 바라보는 모습이 애잔했다.	애잔했다	전사자의 가족들은 애잔한 마음을 홀로 달랬다. 	애잔한	글로는 전달할 수 없는 애잔함을 나눈 각별한 사이였다.	애잔함	괜시리 마음이 애잔해 이별 노래를 줄창 들었다.	애잔해	몸에서 멀어지면 마음에서도 멀어진다더니 더욱 애잔해질 뿐이었다.	애잔해질	아무리 마음을 단단하게 먹어도 그녀를 마주하고 있으면 애잔한 감정이 솟아올랐다.	애잔한
남부럽다	가진 보석들이 남부럽지 않다.	남부럽지 않다	평범한 집안이었으나 사랑받고 자란 아이는 남부러울 것이 없었다. 	남부러울	사업을 하는 어머니 덕에 남부럽지 않게 자랐다.	남부럽지 않게	나는 타인의 성과 이전에 피나는 노력이 있다는 사실을 아주 잘 알아서 누구의 성공도 남부럽지 않았다.	남부럽지 않았다	주변의 성공이 남부럽지 않은 사람은 생각보다 드물다.	남부럽지 않은	남부럽지 않게 자랐다는 말을 들을 때 마다 마음 한 구석이 무거웠다.	남부럽지 않게
기껍다	과분한 제안이었지만 마음만은 몹시 기꺼웠다. 	기꺼웠다	은혜를 받고 기사가 되었기에 기꺼운 마음으로 일하리라 다짐했다. 	기꺼운	제 마음대로 흘러가지 않는 것이 기껍지 않은 듯하였다. 	기껍지	가족이 화기애애하게 지내는 것이 내심 기꺼웠다. 	기꺼웠다	많은 돈을 거머쥐었지만 기껍지 않은 내색을 보였다.	기껍지	기꺼운 표정으로 우리를 맞이했다.	기꺼운
눈물겹다	평화로운 과거를 회상하면 그저 눈물겹다. 	눈물겹다	실로 눈물겨운 연인의 재회였다. 	눈물겨운	두붕켜안고 우는 자매를 눈물겹게 바라보았다. 	눈물겹게	나는 당신이 불쌍해서 우는 게 아니에요. 당신이 그렇게 힘들어 할 동안 아무도 도와주지 않았다는 사실이 눈물겨울 뿐이에요.	눈물겨울	온갖 고난을 이겨내고 밝은 모습으로 일상을 지내는 사연이 눈물겹지 않을 수 없었다. 	눈물겹지	순수하게 좋아하는 존재가 있다는 건 눈물겨운 일이기도 하다.	눈물겨운
아리다	그녀와의 이별을 생각하면 지금까지도 가슴이 아리었다. 	아리었다	가시에 찔려 아린 손끝을 재빠르게 감췄다.	아린	일말의 양심이 가슴아리게 자신의 존재를 주장하고 있었다. 	아리게	녹록치않은 그의 옛 이야기를 들으며 잠시간 가슴이 아린 것도 같았다. 	아린	쫓아가다 넘어졌는지 까진 살갗이 그제서야 아렸다. 	아렸다	2년이나 지난 일이건만 다시 생각하면 여전히 상처가 아렸다.	아렸다
애련	전 약혼자에 대한 애련의 정이 넘쳤다. 	애련	스치듯 지나간 눈길에는 애련의 빛이 가득했다. 	애련	안타까운 이야기를 듣고 있자니 애련의 감정이 피어올랐다. 	애련	애련한 내 마음 한 켠은 누구도 대신할 수 없는 그녀의 것이었다. 	애련한	애련한 눈빛으로 그녀를 바라봐도 그녀는 더 이상 눈을 맞춰주지 않았다.	애련한	이별을 고했을 때 그의 애련한 표정을 도무지 알 수 없었다. 	애련한
정한	원혼의 정한은 신중하게 다루어야 한다.	정한	갈피를 잡지 못한 정한이 가슴에 가득하였다. 	정한	애증에 가까운 정한을 품고 살았다.	정한	자신의 나라를 저주하면서도 정한 마음이 들어 다시금 돌아오곤 했다. 	정한	정한 샘물이라며 비싸게 팔리던 것은 사실 장사치의 상술이었다.	정한	동네 어른들은 앓아누운 어머니를 두고 정한이 가슴에 가득하여 병이 되었다고 말했다. 	정한
의아하다	구시대적인 전통이 아직까지 이어지고 있음이 의아했다.	의아했다	고된 일을 자원하는 것이 의아한 모양새였다. 	의아한	완벽한 제안을 거절한 것이 의아하여 이유를 물었다. 	의아하여	변심한 것이 하루 이틀 일이 아닌 듯 의아하게 여기는 이 조차 없었다.	의아하게	어린 사촌동생은 의아한 표정을 지으며 궁금한 점을 쏟아 내었다. 	의아한	내가 예상한 것과 다르게 흘러가는 상황을 의아하게 바라보았다.	의아하게
회오	극소수만이 자신의 잘못을 깊이 회오한다.	회오한다	마음깊이 회오하는 자에게도 자비를 베풀어 교화할 수 있는 기회를 주었다. 	회오하는	묘 앞에서 회오의 눈물을 흘렸다. 	회오	그녀는 자신의 선택을 뼈저리게 회오하며 시간을 되돌리고 싶어했다.	회오하며	영혼이 빠져나간 신체에서 회오의 눈물 한 방울이 흘렀다.	회오	수많은 회오와 쌓여가는 무력감에서 벗어나야만 환생할 기회를 얻을 것이다.	회오
기쁘다	무엇보다도 당연하게 소속되어있는 자신의 처지가 기뻤다. 	기뻤다	기쁜 마음으로 이사를 준비했다.	기쁜	이르게 도착한 생일 선물을 기쁘게 받아들었다. 	기쁘게	고대하던 소식이 들려오자 나는 기쁘게 뛰쳐나갔다.	기쁘게	새 생명의 탄생은 기쁘고 행복한 순간이다.	기쁘고	기뻐하는 사람들 사이에서 쭈뼛거리는 그 아이가 한없이 사랑스러웠다.	기뻐하는
성취감	바쁜 시간대를 무사히 지난 후의 성취감이 좋았다.	성취감	모임이 성공적으로 마무리되자 크나큰 성취감이 들었다.	성취감	마침내 금메달을 목에 걸자, 선수는 성취감에 젖은 듯 감독을 얼싸안았다.	성취감	학생들의 발전에 크나큰 성취감을 느낀다.	성취감	노력의 결과에서 성취감도 얻을 수 있다면 더없이 좋은 일이다.	성취감	새로운 분야를 개척하는 그 감각과 성취감이 나를 생기있게 만든다.	성취감
신명나다	구성진 가락은 언제나 신명난다. 	신명난다	하인의 발재간은 모임을 더욱 신명나게 만들었다.	신명나게	사람이 하나 둘 모여들어 연주가 더욱 신명나게 들렸다. 	신명나게	앞으로의 계획을 세우며 신명나는 기대감이 그녀를 충만하게 만들었다. 	신명나는	축제의 마지막 순서에서 흥겨운 노래가 나자 다들 신명나게 춤을 추었다.	신명나게	사람으로 인해서 기쁘기도 하고 슬프기도 하는 신명나는 경험을 했다. 	신명나는
신바람나다	멀리서부터 온 반가운 소식에 신바람이 났다.	신바람이 났다	프로젝트는 승황리에 끝났다는 소식을 전해 주니 정말 신바람나는 일이었다. 	신바람나는	매출과 함께 늘어난 수당에 직원들은 모두 신바람나게 일하기 시작했다. 	신바람나게	회사의 경영진이 대대적으로 교체되자 새로운 변화를 기대하며 조직 내부에는 신바람이 감돌았다.	신바람	날은 청명했고 학생들의 웃음소리와 신바람이 학교에 가득했다. 	신바람	첫 출근을 하는 신입은 신바람이 나기 시작했다. 	신바람이 나기
열정	어떠한 열정도 담기지 않은 작품을 바라보고 있을 인내심은 없었다.	열정	의욕적이고 열정적인 모습에 응원을 보냈다. 	열정적인	사업가는 자신의 열정을 담은 사업을 몹시 자랑스러워하였다. 	열정	부당한 대우를 받으며 그녀의 열정은 점점 사그라들었다.	열정	열정적인 사람을 보면 나도 그럴 때가 있었는지 회상 혹은 반성을 하곤 한다.	열정적인	열정적인 태도로 임하는 그녀는 모두에게 아낌받았다.	열정적인
유쾌하다	오늘 하루는 몹시 유쾌했다.	유쾌했다	유쾌한 친구와 있으면 시간은 쏜살같이 흐른다. 	유쾌한	자신의 이익만을 취하려다 본전도 못 찾는 모습이 유쾌하게 느껴졌다. 	유쾌하게	그녀의 유쾌한 너스레는 항상 주위 사람들에게 웃음을 주었다. 	유쾌한	바쁜 친구들과 이따금씩의 유쾌한 시간을 보내면 충전한 느낌이 든다.	유쾌한	유쾌한 웃음 소리를 듣고 있노라면 다 괜찮을 것 같은 기분이었다.	유쾌한
통쾌하다	나에게 죄를 뒤집어 씌우려던 것이 들통났으니 몹시 통쾌했다.	통쾌했다	통쾌한 승리를 거머쥐었다.	통쾌한	빈 술잔을 내려놓고선 통쾌하게 웃었다.	통쾌하게	승리를 거머쥔 통쾌한 순간은 신문 1면을 장식했다.	통쾌한	친구의 소식을 듣고 나도 모르는 새에 통쾌하게 웃고 있었다. 	통쾌하게	1위 단상에 올라가며 통쾌함에 감격스러운 눈물을 흘렸다.	통쾌함
즐겁다	아이는 거리를 자유롭게 활보하며 몹시 즐거워했다.	즐거워했다	즐거운 모습으로 지내는 걸 보니 나도 기분이 좋구나.	즐거운	가벼운 발걸음으로 즐겁게 차에 올랐다.	즐겁게	즐거운 시간을 보낼때면 문득 끝이 두려워지기도 한다.	즐거운	홀로 시간을 보내는 것은 나에게 있어 큰 즐거움이다.	즐거움	삶의 우선순위를 확립하고 나니 나는 더욱 즐거워졌다.	즐거워졌다
환희	환희에 찬 모습이 흐뭇했다.	환희에 찬	환희의 환성이 기사들을 환영했다.	환희	짜릿한 환희를 맛 본 사업가는 이내 돌변했다.	환희를 맛 본	가족이 더 생긴다는 사실은 나에게 큰 환희로 다가왔다. 	환희	힘든 시절은 이제 끝났다며 서로를 위로하고 새로운 해에 대한 환희가 가득 찼다.	환희에 가득 찼다	성황리에 막을 내리고 우리 팀은 모두 환희에 빠졌다.	환희에 빠졌다
흥겹다	곡식을 수확하는 농부의 노랫소리는 흥겹다. 	흥겹다	흥겨운 소리에 시선이 절로 향했다.	흥겨운	하루아침에 벼락부자가 되어 흥겹게 노래를 불렀다. 	흥겹게	친구들과 함께 술잔을 기울이며 시시덕한 이야기를 나누는 것은 항상 흥겹다.	흥겹다	그 경기에서 이겼다는 사실에 흥겨워 옆 사람과 부둥켜안고 춤을 추었다.	흥겨워	흥겨운 시간을 보낸 뒤의 숙취는 지난 날의 잔사오가도 같다.	흥겨운
가뜬하다	아침에 운동을 하니 몸이 한결 가뜬하다. 	가뜬하다	복장이 가뜬해야 활동하기 좋으니, 이 점 유념해주시길 바랍니다.	가뜬해야	그 장수는 비료를 가뜬하게 들어올렸다. 	가뜬하게	일정이 마무리되어가는 시점에서 나는 마음이 가뜬했다.	가뜬했다	가뜬한 하루를 만끽하며 대청소를 했다.	가뜬한	지긋지긋해하던 사람과 헤어진 후에 가뜬하지만은 않았다. 	가뜬하지만은
감회	몇 년 만에 돌아온 고향은 감회가 새로웠다. 	감회	힘들었던 지난 날을 회상하듯 감회 어린 표정을 지었다. 	감회어린	창밖으로 모습을 드러내는 고향에도 아무런 감회가 없는 듯 했다. 	감회	만남을 이어가기로 한 후의 감회는 어딘가 간지러운 기분이었다.	감회	향수병이 심해질 때면 감회에 잠기는 순간들이 여럿 있었다.	감회	감회에 잠겨 빠져나오지 못할 때면 발 딛고 있는 현실이 싫게만 느껴졌다.	감회
경외하다	대부분의 교사는 누구에게나 교육의 기회를 줄 것이라는 설립자를 경외했다.	경외했다	경외하는 시선에 손을 가볍게 흔들었다. 	경외하는	현명하고 자애로운 그녀를 경외의 대상으로 여겼다. 	경외	그녀는 스승을 경외하며 배움을 구했고, 행적까지 닮고 싶어 했다. 	경외하며	새로운 것은 경외의 대상이지만 두려움의 대상이기도 하다.	경외	모든 이들이 명확한 이유 없이 그저 경외하게 되는 것은 경계해야 할 필요가 있다. 	경외하게
공감하다	사회초년생의 허무함에 깊이 공감했다. 	공감했다	고개를 끄덕이며 공감하는 모습을 보였다.	공감하는	진솔한 이야기를 담은 책은 독자들에게 많은 공감을 불러일으켰다.	공감	고통에 공감하고 곁을 지켜주는 친구에게 큰 고마움을 느꼈다. 	공감하고	모두가 공감할 만한 소재를 색다르게 풀어내어 호평을 받았다.	공감할	상대방의 이야기에 공감하는 태도가 무엇보다도 중요하다. 	공감하는
달가워하다	타의로 참여한 파티에서 인사를 나누는 것을 달가워하지 않았다.	달가워하지 않았다	선심 쓰듯 내미는 제안을 달가워할 사람은 없었다.	달가워할	나의 권유에 달가워하지 않는 모습에 나 또한 흥이 식었다. 	달가워하지 않는	기뻐할 것이라고 생각해서 준비했는데 달가워하지 않는 기색을 보여 나 또한 당황스러웠다.	달가워하지 않는	살며시 꺼낸 제안에 몹시 달가워하며 좋은 생각이라는 말을 듣자 뿌듯했다.	달가워하며	여행이라는 단어에 달가워하며 몹시 즐거워하는 기색이었다.	달가워하며
동경하다	이야기로만 접한 바다 건너의 나라를 동경하였다.	동경하였다	그 발표자는 자신을 동경하는 학생들의 꿈을 지켜줄 의무가 있다고 생각했다. 	동경하는	고난에도 굴하지 않는 모습을 보며 그녀를 동경의 대상으로 삼았다. 	동경	동경의 대상을 앞에 두니 손이 저절로 떨렸다.	동경	어렸을 때 만난 사촌동생은 변호사라는 직업을 가진 나를 동경했다.	동경했다	고난 속에서도 침착하게 상황을 파악하고 지시를 내리는 그녀를 누구나 한 번 쯤은 동경했다. 	동경하며
애	그 시녀는 애가 달아서 어쩔 줄을 몰라 했다. 	애가 달아	나를 도와주지 않을 것 같아 애가 탔다. 	애가 탔다	몸부림을 치며 끌려가지 않으려 애를 썼다. 	애를 썼다	더 나은 성과를 내기 위해 밤낮으로 애썼다.	애썼다	환경 문제는 모두가 응당 애써야 하는 공동의 책임이다. 	애써야	막중한 책임감을 갖고 애쓰는 모습을 보니 짠하기도 했다.	애쓰는
연정	이루어지지 않았기에 아름다운 연정도 있다.	연정	나를 신경써주는 세심한 모습에 연정을 느꼈다. 	연정	그녀의 상냥한 모습에 남몰래 연정을 품었다. 	연정	지고지순한 연정이 담긴 편지를 소중하게 간직했다.	연정	연정은 예상하지 못한 곳에서 피어나는 민들레와도 같았다.	연정	애인의 헌신적인 연정으로 이어져 있는 그녀는 언제나 응원받는 기분이었다.	연정
자족하다	그녀는 자신의 생활에 자족했다.	자족했다	평화롭고 자족한 생활을 보내고 있었다. 	자족한	현명한 사람은 자족하며 살아가기 마련이란다.	자족하며	그는 북적한 도시 생활을 청산하고 농장에서 자족하여 살아가고있다.	자족하여	자족하면서도 환경에 해가 되지 않는 방식으로 살아가는 사람들이 많아지고 있다.	자족하면서	그녀에게 있어 자족적인 생활은 무엇보다 지속적이라는 면에서 의미가 있었다.	자족적인
낯간지럽다	하나 둘 자신에 대한 칭찬을 늘어놓자 몹시 낯간지러웠다. 	낯간지러웠다	낯간지러운 소리 좀 그만해, 하며 귀를 붉혔다.	낯간지러운	그런 말들을 낯간지럽게 어떻게 대놓고 해? 	낯간지럽게	그녀의 새로운 인사법은 몇몇 사람들에게는 낯간지럽게 느껴질 수 있겠지만 분명 매력적이었다.	낯간지럽게	손가락이 박동하는 낯간지러운 경험이었다. 	낯간지러운	낯간지러운지 얼굴이 새빨개져선 말을 더듬었다.	낯간지러운지
노파심	혹시나 하는 노파심에 하는 말이니까 너무 기분 나빠하지 않았으면 좋겠어. 	노파심	노파심에 다시 한 번 말씀드리겠습니다. 	노파심	잘 진행되고 있는지, 노파심이 들었다.	노파심	얼마 남지 않았다는 의사의 말에 가족들은 매 순간 노파심을 느꼈다.	노파심	잠깐 외출한다며 나갔던 친구가 돌아오지 않아 노파심을 느꼈다.	노파심	노파심에 연락하는 마음은 알겠지만 번거로운 것이 사실이었다.	노파심
동요하다	눈물을 흘려가며 이어지는 호소에 사람들은 동요했다	동요했다	피고인은 자신의 변호를 듣고 술렁이며 동요하는 참석자들을 바라보았다. 	동요하는	동여하지 말고 제자리에서 지시를 기다려주시길 바랍니다.	동여	과하게 화를 내며 크게 동요하는 모습이 의심스러웠다.	동요하는	동여하는 마음을 붙잡고 후회하지 않을 선택을 하려 애썼다. 	동요하는	그의 제안을 듣는 내내 마음이 동요하고 있다는 것을 느꼈다.	동요하고
심통	자신을 배려해주지 않는 친구에게 심통이 났다.	심통이 났다	자신과는 상관없는 일이라며 손을 내젓는 태도에 심통이 부글부글했다.	심통이 부글부글했다	제 뜻대로 굴지 않는 시녀들에게 심통을 부렸다. 	심통을 부렸다	그가 심통을 부리며 주변 사람들을 괴롭힐 때 모두의 표정은 동일했다. 	심통을 부리며	심통을 부리는 아이를 달래며 약을 먹이기 위해 차분히 말을 건넸다.	심통을 부리는	대기시간이 너무 길어져 대부분의 출연자들은 심통을 부렸다.	심통을 부렸다
우습다	운을 모두 자신의 실력이라고 믿는 모습이 우습다.	우습다	그제서야 땅을 치며 후회하는 모습은 퍽 우스운 모양새였다.	우스운	험담을 할 때는 언제고, 앞에서는 아양을 떠는 모습이 우습게 보였다. 	우습게	사람들이 우스운 미소를 지을 때면 상대를 낮잡아 보는 것 같기도 하다.	우스운	누군가의 행동이나 선택이 우습게 보이더라도 사람의 모든 면모를 넘겨짚으려고 하지 말아야 한다. 	우습게	자신만만하게 출전한 그는 우습게도 헛발질을 하곤 했다. 	우습게도
우쭐하다	미리 피난가방을 싸 놓은 자신의 선견지명에 우쭐했다. 	우쭐했다	나를 무시하던 이를 이겨 우쭐한 기분이었다. 	우쭐한	이 지역의 특색 봄꽃 축제는 지역민을 우쭐하게 만드는 축제였다. 	우쭐하게	동창회에서 새로운 차를 뽑았다며 우쭐하게 굴었다. 	우쭐하게	우쭐한 모습으로 한껏 떵떵거릴 때는 언제고 막상 나서야 할 때가 오면 가만히 사라졌다.	우쭐한	고향에 걸린 현수막이 나를 우쭐하게 만들었다.	우쭐하게
의분	학생의 입을 틀어막으며 끌고 나가는 상황 속에서 의분에 떨었다. 	의분에 떨었다	슬픔은 곧 가셨고, 이내 불덩이 같은 의분을 느꼈다. 	의분을 느꼈다	도적의 만행에 의분을 금할 수 없었다. 	의분	교실은 탄압으로 쓰러진 책걸상과 의분만이 가득했다. 	의분	의견을 경청하기는 커녕 모임조차 금지하는 회사의 태도에 의분이 차올랐다. 	의분	학생에게 차별적으로 교육을 제공하는 교사를 보고 의분을 금치 못했다. 	의분
꺼림직하다	그제서야 보이는지나치게 손을 타지 않은 가구가 꺼림직했다. 	꺼림직했다.	말을 높이기도, 함부로 말을 낮추기도 꺼림직한 존재였다. 	꺼림직한	인사를 못 건넨 것이 마음 속에 꺼림직하게 남았다. 	꺼림직하게	이전부터 그의 중립적인 태도에 사람들은 꺼림직한 느낌을 받았다고 말했다. 	꺼림직한	타인의 과한 친절과 관심은 나에게 꺼림직하게 다가온다. 	꺼림직하게	어두운 길거리가 어딘가 꺼림직하게 느껴져 전화번호부를 열어 전화를 걸었다. 	꺼림직하게
께름직하다	목덜미에 스치는 한기가 께름직했다.	께름직했다	모처럼의 외출이었지만 께름직한 기분이 가시질 않았다. 	께름직한	절규에 가까운 저주가 몸에 께름직하게 달라붙은 느낌이 들었다. 	께름직하게	산에 들어온 이후부터 께름직하고 스산한 기운이 몸을 덮쳤다. 	꼐름직하고	눈 앞에 들이밀어진 안내 책자를 께름직하게 받아들었다. 	께름직하게	께림직한 표정을 지으며 알겠으니 이만 가 보라고 손을 휘저었다.	께림직한
귀찮다	별다른 신경을 쓰는 것 조차 귀찮았다. 	귀찮았다	귀찮은 연락이 올 것을 예상해서 미리 꺼 두길 잘 했다.	귀찮은	내 눈치를 보며 퍽 귀찮게 굴었다. 	귀찮게	귀찮은 일들이야말로 초기에 끝내놓으면 유용하게 쓰인다.	귀찮은	귀찮게 느껴질 법 함에도 그 대상이 연인이라는 이유만으로 모든 게 그저 좋았다.	귀찮게	손수 요리를 만들어 대접하는 것은 귀찮지만 맛있게 먹는 친구의 얼굴을 생각하면 영 못 할 일도 아니었다.	귀찮지만
떠름하다	결과적으로는 좋은 일이었으나 어딘가 떠름했다.	떠름했다	예상하지 못한 선물을 받아 떠름한 시선으로 나를 바라보았다.	떠름한	갑작스럽게 성사된 만남에 떠름해서 말이 안 나왔다.	떠름해서	자꾸만 자신의 시선을 피하는 구성원들이 떠름했다.	떠름했다	떠름할 정도로 사람이 살았던 흔적이 보이지 않는 기이한 집이었다.	떠름할	떠름한 시선이 따라붙는 걸 두려워하면 아무것도 못 한다며 우는 나를 다독였다 	떠름함
막막하다	책상을 가득 채운 줄어들지 않는 서류더미가 막막했다. 	막막했다	들려오는 소식에 그저 막막한 한숨을 내쉬었다.	막막한	앞으로의 미래가 막막하게 느껴질 때가 있다.	막막하게	기존에 배웠던 내용과 달라 막막함에 머리가 새하얗게 되어 생각나는 것이 없었다.	막막함	앞으로 살아갈 나날이 창창하다는 말이 무엇보다도 막막했다.	막막했다	막막한 미래를 앞에 두고도 능청스럽게 사는 사람이 되고 싶다고 말했다.	막막한
답답하다	볕조차 들지 않는 방이 답답했다.	답답했다	답답한 기분을 떨쳐버리려 무작정 나왔다.	답답한	나를 위한 일이랍시고 그저 싸고 돌 때, 되려 답답하게 느껴질 때가 있다. 	답답하게	다툼이 생길 것 같으면 그저 회피해버리는 태도가 답답했다.	답답했다	답답한 현실을 외면하려 때로는 기분전환을 위해 여행을 떠난다. 	답답한	일을 처음 시작하는 사람은 답답하게 느껴지는 것이 당연하지만 그것이 괴롭힘의 이유가 되진 않는다.	답답하게
번민하다	신중한 선택을 내려야 한다는 생각에 깊이 번민했다. 	번민했다	나랏일로 번민하던 선비는 과거 시험을 위해 길을 떠났다. 	번민하던	그저 번민하고만 있을 수는 없는 상황이었다. 	번민하고	안타깝게도 그는 많은 시간을 번민했다. 	번민했다	그는 이따금씩 자신의 상황에 대해 번민하곤 했다.	번민하곤	과한 업무를 당연하듯이 떠안다가도 번민하며 멈춰서곤 했다. 	번민하며
감개	감개가 끓어올라 눈물이 흘렀다.	감개	고대하던 만남에 우리는 감개에 젖어 그저 서로를 바라보았다.	감개	감개 어린 목소리로 조심스레 말을 건네었다.	감개	감개무량한 일이었으니 생각할 것도 없이 고개를 끄덕였다.	감개무량한	자신에게 주어진 기회가 그저 감개무량했다.	감개무량했다	가슴 한 켠에는 감개를 묻어 두고 사는 것 같다고 느꼈다.	감개
경애하다	자신에게 깊은 가르침을 준 스승님을 경애했다.	경애했다	김연아 선수는 대한민국 국민 누구나 경애하는 선수이다. 	경애하는	교문 앞에 놓인 꽃다발에서 학생들이 얼마나 경애하고 있는지를 알 수 있었다. 	경애하고	자신의 스승을 진심으로 경애했다.	경애했다	지도자에게 쏟아지는 경애는 때론 적개심이 되기도 한다.	경애	이 땅을 위해 헌신하고 몸 바친 사람들을 경애하며 기억해야 한다.	경애하며
고무되다	같은 목표 아래 노력하는 사람들 사이에 있다는 사실에 고무되었다.	고무되었다	열렬한 응원에 고무된 선수들은 승리를 다짐하였다. 	고무된	지지와 격려에 고무되어 더욱 열심히 해야겠다고 다짐했다.	고무되어	열렬한 분위기에 고무되어 온 힘을 다해 응원했다.	고무되어	현장의 열기에 지나치게 고무된 선수는 실수를 연달아 했다.	고무된	같은 시간을 알차게 쓰는 사람들 사이에 있으니 덩달아 고무되었다.	고무되었다
선호하다	신맛의 디저트보다는 단 것을 선호했다.	선호했다	선호하는 음식이 있으시다면 말씀해 주세요.	선호하는	희소성을 가진 물품의 선호가 두드러졌다. 	선호	단체생활보다는 개인적인 활동을 선호한다.	선호한다	선호에 대해 알아가는 것이 관계의 시작이라는 교본이 존재하기라도 하는지.	선호	선호하는 음식을 미리 알아낸 모양인지 내가 좋아하는 것들만 준비되어 있었다.	선호하는
애지중지하다	선물받은 지 10년이 지나 작아진 옷을 정말 애지중지했다. 	애지중지했다	애지중지하는 물건이 망가져 속이 상했다.	애지중지하는	나는 식물을 애지중지하며 돌보았다.	애지중지하며	그렇게 애지중지하던 것들을 죄다 망가뜨린 나조차 사랑할 수 있는지 궁금했다.	애지중지하던	애지중지하는 모습이 우습게 보일 수도 있겠지만 누구보다도 멋져 보였다.	애지중지하는	자신의 피를 이은 자식들을 애지중지했다. 	애지중지했다
