단어	소속	세부소속	예문 1	변형 단어	예문 2	변형 단어	예문 3	변형 단어																	
심장 박동과 호흡이 빨라진다	무섭다	놀라다	길을 걷다가 갑자기 나타난 고양이에게 놀라 심장 박동과 호흡이 빨라졌다.	심장 박동과 호흡이 빨라졌다	영화관에서 공포 영화를 보는 동안, 깜짝 놀란 장면에 호흡이 빠르게 변했다.	호흡이 빠르게 변했다	친구가 뒤에서 갑자기 어깨를 툭 치자, 놀라서 심장 박동 순식간에 빨라졌다.	심장 박동 순식간에 빨라졌다																	
자기 머리 위로 손을 벌린 채 높이 들어 올린다.	무섭다	놀라다	서프라이즈한 선물 상장에서 무언가 튀어나오자, 깜짝 놀라 손을 높이 들어올렸다.	손을 높이 들어올렸다.	군대에 있는 줄 알았던 남친의 모습이 폴라로이드 사진에 드러날 때, 그녀는 놀라 손을 벌린 채 높이 들어 올렸다.	손을 벌린 채 높이 들어 올렸다.	냄비를 잡으려던 그의 손은, 냄비의 뜨거움을 느끼고 순간적으로 머리 위로 올라갔다.	머리 위로 올라갔다.																	
몸을 곧추세웠다.	무섭다	놀라다	밤길을 걷다가 갑자기 들려온 소리에 놀라 몸을 곧추세웠다.	몸을 곧추세웠다	면접관이 들어오자, 조금 굽혀져있던 몸이 긴장과 놀람으로 곧추세워졌다.	곧추세워졌다	친구의 큰 소리에 놀라서 순간적으로 숙이고 있는 고개와 함께 몸을 곧추세웠다. 짜증나게도 아무 일도 아니었다.	몸을 곧추세웠다																	
머리카락이 쭈뼛 섰다.	무섭다	무섭다	어두운 밤, 뒤에서 들려온 속삭임에 머리카락이 쭈뼛 섰다.	머리카락이 쭈뼛 섰다	집 안의 갑작스러운 그림자 움직임에 머리카락이 쭈뼛 섰다. 분명 집엔 혼자였다.	머리카락이 쭈뼛 섰다	캠핑 중에 들려온 이상한 소리. 머리카락과 온 몸의 털이 쭈뼛 섰다	머리카락과 온 몸의 털이 쭈뼛 섰다																	
머리털이 곤두선다.	무섭다	무섭다	공포 영화의 결정적 장면에서 머리털이 곤두섰다.	머리털이 곤두섰다	야간 산책 중에 갑자기 들려온 애기 울음소리에 머리털이 곤두섰다.	머리털이 곤두섰다	혼자 있는 방. 불이 꺼졌다. 정전은 아니었다. 머리털이 곤두섰다.	머리털이 곤두섰다																	
전율이 느껴진다.	무섭다	조마조마하다	시험 결과를 기다리며 전율이 느껴지자, 그녀는 조마조마한 마음을 감출 수 없었다.	전율이 느껴지자	어두운 밤, 집으로 돌아가는 길에 전율이 느껴지며 나는 조마조마해졌다.	전율이 느껴지며	발표 순서가 다가올수록 전율이 느껴지고, 내 마음은 점점 더 조마조마해졌다.	전율이 느껴지고																	
입술에 경련이 일어난다.	무섭다	무섭다	영화관에서 호러 영화를 보는 내내 입술에 경련이 일어나는 것을 느꼈고, 그만큼 무서웠다.	입술에 경련이 일어나는 것	집에 혼자 있을 때 갑자기 입술에 경련이 일어났고, 이는 내가 얼마나 무서워하는지를 나타냈다.	입술에 경련이 일어났고	야간 캠핑 중 이야기를 듣다가 입술에 경련이 일어나는 것을 느꼈는데, 그만큼 내 마음은 무서움에 휩싸였다.	입술에 경련이 일어나는 것																	
침을 꿀꺽 삼키거나 목이 걸린다.	무섭다	조마조마하다	면접관 앞에서 질문을 받자, 침을 꿀꺽 삼키며 나는 조마조마한 마음을 감추지 못했다.	침을 꿀꺽 삼키며	큰 무대에 서기 전, 침을 꿀꺽 삼키며 나의 조마조마한 심정을 드러냈다.	침을 꿀꺽 삼키며	경찰에게 서류를 검사받을 때, 침을 꿀꺽 삼키며 조마조마한 마음이 들었다.	침을 꿀꺽 삼키며																	
동공의 확장	무섭다	무섭다	깜짝 놀란 순간, 나의 동공은 확장되었고 그만큼 무서움을 느꼈다.	동공은 확장되었고	어두운 골목을 지나갈 때 동공이 확장되며 무서움이 커져갔다.	동공이 확장되며	무언가가 갑자기 나타나자, 내 동공이 확장되며 무서움을 감출 수 없었다.	동공이 확장되며																	
심장이 빠르고 급격하게 뛴다.	무섭다	조마조마하다, 무섭다	고백을 앞두고 심장이 빠르게 뛰며 나는 조마조마한 기분이 되었다.	심장이 빠르게 뛰며	어둠 속에서 갑자기 소리가 들려오자, 내 심장은 빠르고 급격하게 뛰며 무서움을 느꼈다.	심장은 빠르고 급격하게 뛰며	롤러코스터가 정상에 도달했을 때, 심장이 빠르고 급격하게 뛰기 시작했고, 나는 그 순간 조마조마함과 무서움을 동시에 느꼈다.	심장이 빠르고 급격하게 뛰기																	
심장이 거칠게 뛴다.	무섭다	무섭다	어둠 속에서 갑자기 들려온 소리에 나의 심장이 거칠게 뛰기 시작했다.	거칠게 뛰기 시작했다	공포 영화의 귀신이 등장하는 순간, 친구의 심장이 거칠게 뛰었다.	거칠게 뛰었다	집에 혼자 있는데 문이 갑자기 열리는 소리에 심장이 거칠게 뛰었다.	거칠게 뛰었다																	
모든 신체 근육이 떨린다.	무섭다	무섭다	그림자가 벽을 기어오르는 것을 보고 모든 신체 근육이 떨렸다.	모든 신체 근육이 떨렸다	무서운 이야기를 듣고 난 후, 나는 모든 신체 근육이 떨리는 것을 느꼈다.	모든 신체 근육이 떨리는 것을 느꼈다	밤길을 혼자 걷다가 뒤에서 누군가를 느끼며 모든 신체 근육이 떨렸다.	모든 신체 근육이 떨렸다																	
불명료한 목소리를 낸다.	무섭다	조마조마하다	시험 결과를 발표하는 선생님의 불명료한 목소리에 학생들이 조마조마했다.	불명료한 목소리에	면접관 앞에서 긴장한 나는 불명료한 목소리를 냈다.	불명료한 목소리를	전화기 너머로 들리는 불명료한 목소리에 나는 조마조마해졌다.	불명료한 목소리에																	
겁에 질려 고함을 지른다.	무섭다	무섭다	깜짝 등장한 괴물에 겁에 질려 고함을 질렀다.	고함을 질렀다	어둠 속에서 갑작스럽게 나타난 그림자에 겁에 질려 고함을 지르고 말았다.	고함을 지르고 말았다	친구가 장난으로 놀래켜서 겁에 질려 고함을 지르고 말았다.	고함을 지르고 말았다																	
피부에 땀방울이 맺힌다.	무섭다	조마조마하다	중요한 발표를 앞두고 피부에 땀방울이 맺혔다.	땀방울이 맺혔다	첫 데이트에서 긴장한 나는 피부에 땀방울이 맺혔다.	땀방울이 맺혔다	경기 시작 전, 선수의 이마에는 이미 피부에 땀방울이 맺혀 있었다.	땀방울이 맺혀 있었다																	
기진맥진하며 정신이 혼미해진다.	무섭다	무섭다	공포 영화를 보다가 갑자기 튀어나온 괴물에 기진맥진하며 정신이 혼미해졌다.	기진맥진하며 정신이 혼미해졌다	밤길을 혼자 걷다가 뒤따라오는 발걸음 소리에 기진맥진하며 정신이 혼미해졌다.	기진맥진하며 정신이 혼미해졌다	집 안에서 갑자기 들리는 소리에 놀라 기진맥진하며 정신이 혼미해졌다.	기진맥진하며 정신이 혼미해졌다																	
피부는 심하게 주름진다.	무섭다	조마조마하다	면접 결과를 기다리며 긴장해서 피부가 심하게 주름졌다.	피부가 심하게 주름졌다	중요한 시험을 앞두고 걱정되어 피부가 심하게 주름졌다.	피부가 심하게 주름졌다	무대 위에 서기 직전, 긴장으로 인해 피부가 심하게 주름졌다.	피부가 심하게 주름졌다																	
이마와 목의 혈관은 두꺼운 밧줄처럼 튀어나왔다.	무섭다	무섭다	고소공포증에도 불구하고 롤러코스터를 타고 내려올 때 이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다.	이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다	숲속에서 갑자기 나타난 야생 동물을 보고 놀라 이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다.	이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다	깜짝 놀랄만한 장난을 친 친구에게 놀라서 이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다.	이마와 목의 혈관이 두꺼운 밧줄처럼 튀어나왔다																	
콧구멍은 치켜 올라갔고 확장되었다.	무섭다	무섭다	갑작스러운 소리에 놀라 콧구멍이 치켜 올라가고 확장되었다.	콧구멍이 치켜 올라가고 확장되었다	어두운 골목에서 갑자기 들려온 소리에 콧구멍이 치켜 올라가고 확장되었다.	콧구멍이 치켜 올라가고 확장되었다	긴장감 넘치는 순간, 콧구멍이 치켜 올라가고 확장되었다.	콧구멍이 치켜 올라가고 확장되었다																	
동공은 확대되었다.	무섭다	무섭다	밤하늘에 번쩍이는 번개를 볼 때마다 동공이 확대되었다.	동공이 확대되었다	집 안에서 갑자기 들리는 기이한 소리에 동공이 확대되었다.	동공이 확대되었다	무서운 이야기를 들을 때, 동공이 확대된다.	동공이 확대된다																	
얼굴이 창백해졌다.	무섭다	무섭다	어두운 골목을 지나다가 갑자기 나타난 그림자에 얼굴이 창백해졌다.	얼굴이 창백해졌다	공포 영화의 귀신이 등장하는 장면을 보고 나서 얼굴이 창백해졌다.	얼굴이 창백해졌다	집에 혼자 있을 때, 갑작스러운 노크 소리에 얼굴이 창백해졌다.	얼굴이 창백해졌다																	
턱과 이마에는 주름이 잔뜩 생긴다.	무섭다	무섭다	괴담을 들은 후, 두려움으로 턱과 이마에 주름이 잔뜩 생겼다.	턱과 이마에 주름이 잔뜩 생겼다	밤늦게 혼자 집에 돌아오는 길에, 갑자기 들리는 소음에 턱과 이마에 주름이 잔뜩 생겼다.	턱과 이마에 주름이 잔뜩 생겼다	숲속을 걷다가 갑자기 나타난 동물의 소리에 턱과 이마에 주름이 잔뜩 생겼다.	턱과 이마에 주름이 잔뜩 생겼다																	
턱이 뒤로 당겨지며, 입이 떡 벌어진다.	무섭다	무섭다	갑작스럽게 방의 문이 열리자, 놀라서 턱이 뒤로 당겨지며 입이 떡 벌어졌다.	턱이 뒤로 당겨지며 입이 떡 벌어졌다	밤에 혼자 영화를 보다가 귀신이 화면에 나타나자, 턱이 뒤로 당겨지며 입이 떡 벌어졌다.	턱이 뒤로 당겨지며 입이 떡 벌어졌다	친구가 무서운 이야기를 해주는 도중, 그 이야기의 결말에 턱이 뒤로 당겨지며 입이 떡 벌어졌다.	턱이 뒤로 당겨지며 입이 떡 벌어졌다																	
눈꺼풀을 점점 무거워지며 자주 깜박이다	지루하다	지루하다	교수님께 죄송하지만, 지루한 강의에 눈꺼풀은 점점 무거워졌다	눈꺼풀은 점점 무거워졌다	멀뚱멀뚱 눈만 깜박거리기는 모습이 내게 무심한 듯 보였다.	멀뚱멀뚱 눈만 깜박거리기는	지루한 나머지 그녀의 눈꺼풀이 점점 무거워지는 것이 보였다.	눈꺼풀이 무거워지는																	
시선을 멍하게 고정하고 초점을 잃다	지루하다	지루하다	민수는 애인의 말이 지루한 듯, 시선을 멍하게 두었다.	시선을 멍하게 두었다	자녀의 초점을 잃은 눈을 본 어머니는 분노가 치밀어 올랐다.	초점을 잃은 눈	또 시작된 상사의 잔소리에 나는 초점을 잃고, 시선을 멍하게 두었다.	초점을 잃고, 시선을 멍하게 두었다																	
잦은 하품을 하고 깊은 숨을 쉬다	지루하다	지루하다	나는 지루했다. 나오는 잦은 하품을 참을 수 없었다.	잦은 하품을 참을 수 없었다	할 일이 아무것도 없는 상태에서, 깊은 숨을 푹푹 내쉴 뿐이었다. 내겐 늘 이런 하루가 반복된다.	깊은 숨을 푹푹 내쉴	최악의 상황이다. 발표를 듣는 모두가 계속해서 하품을 하기 시작했다.	계속해서 하품을 하기																	
몸을 긴장에서 풀어내며 축 늘어지게 앉거나 눕다	지루하다	지루하다	지루함에 의자에서 녹아내리듯 늘어지게 누웠다.	녹아내리듯 늘어지게 누웠다	늘어지게 의자에 앉아있는 모습은 지루하다고 내게 항의하는 듯 보였다.	늘어지게 의자에 앉아있는	녹은 버터처럼 의자에 녹아내린 몸을 다시 세우기 어려웠다.	의자에 녹아내린 몸																	
손가락 또는 발가락으로 리듬을 타며 두드리다	지루하다	지루하다	지루함을 이겨내기 위해 발가락으로 리듬을 타며 바닥을 두드렸다.	발가락으로 리듬을 타며 바닥을 두드렸다	너가 할 게 없다고, 두드리지 좀 마!	두드리지	교실 뒤 쪽 자리에서, 엎드린채로 검지로 책상을 두드리는 모습이 매력적으로 느껴졌다.	두드리는																	
몸을 이리저리 움직이며 자세를 자주 바꾸다	지루하다	심심하다	몸을 이리저리 움직였다. 심심함을 이겨내는 방법이었다.	몸을 이리저리 움직였다	영화관에서 영화가 끝나기를 기다리며 그는 심심해져서 몸을 이리저리 움직였다.	몸을 이리저리 움직였다	병원의 대기실에서 그는 자주 자세를 바꾸며 심심함을 달래려 했다.	자세를 바꾸며 심심함을 달래려																	
자주 입술을 물거나 씹다	지루하다	지루하다	멍하니 창 밖을 바라보며 무의식적으로 입술을 씹었다.	무의식적으로 입술을 씹었다	긴 드라이브 도중 그는 지루하다는 듯 계속 입술을 물었다.	계속 입술을 물었다	책을 읽는 동안 그녀는 집중하지 못하고 입술을 씹었다.	입술을 씹었다																	
불규칙적으로 목을 가다듬거나 소리를 내다	지루하다	심심하다	내가 목을 가다듬는 것은 심심함을 해소하기 위한 무의식의 작용이다.	목을 가다듬는 것	회의가 지루해지자 그는 불규칙적으로 목을 가다듬으며 시간을 보냈다.	목을 가다듬으며	강당에서의 연설을 들으며 그녀는 간간이 목을 가다듬었다.	목을 가다듬었다																	
손이나 발을 지속해서 움직이며 불안을 표출하다	지루하다	지루하다, 불안하다	너무 가만히 있어, 활동 부족이 된 나의 몸은 지속적으로 손발을 옴직이며 이를 극복하고자 했다.	지속적으로 손발을 옴직이며	강당에서 발표를 기다리는 동안, 그는 지루함과 불안함을 동시에 느끼며 발을 끊임없이 움직였다.	발을 끊임없이 움직였다	시험 결과를 기다리며 그는 발을 끊임없이 움직이며 불안함을 나타냈다.	발을 끊임없이 움직이며																	
눈썹을 찌푸리거나 얼굴을 찡그리다	지루하다	지루하다, 짜증내다	많은 사람들이 지루한 상황이 평온할 줄 안다. 그렇다면 내 얼굴은 왜 찡그리고 있는가.	왜 찡그리고 있는가	지루한 다큐멘터리를 보면서 그는 자꾸만 얼굴을 찡그렸다.	얼굴을 찡그렸다	컴퓨터 화면의 오류 메시지를 보며 그녀는 눈썹을 찌푸렸다	눈썹을 찌푸렸다																	
책상이나 주변 물체를 툭툭 치다	지루하다	심심하다	이곳에 혼자 남은지 꽤나 시간이 흘렀을 때, 나는 돌아다니며 주변 물건을 괜히 툭툭 쳤다.	주변 물건을 괜히 툭툭 쳤다	버스 안에서 그는 창가의 낡은 표면을 툭툭 두드리며 시간을 보내려 했다.	툭툭 두드리며	카페에 홀로 앉아 있던 그는 심심하게 커피잔 옆을 툭툭 치며 시선을 돌렸다.	툭툭 치며																	
목덜미나 얼굴을 문지르며 피로를 해소하다	지루하다	지루하다	지루함은 곧 피로함으로 이어졌다. 목덜미나 얼굴을 문지르며 정신을 차려봤다.	목덜미나 얼굴을 문지르며	강의가 끝나갈 무렵, 그는 얼굴을 문지르며 긴 시간 동안의 지루함을 털어내려고 했다.	얼굴을 문지르며	그는 지루한 드라마에 목덜미를 문지르며 잠시 채널을 바꿨다.	목덜미를 문지르며																	
긴장된 어깨를 풀거나 스트레칭하다	지루하다	심심하다	굳은 몸을 활성화시키기 위해 팔을 피며 스트레칭 하였다.	팔을 피며 스트레칭 하였다	콘서트를 기다리는 동안 그는 심심하게도 공연장 입구에서 어깨를 움직이며 스트레칭을 했다.	어깨를 움직이며 스트레칭을 했다	집에서 혼자 영화를 보던 중 그는 심심함을 달래기 위해 일어나 어깨를 풀었다.	어깨를 풀었다																	
불안정한 눈동자 움직임을 보이다	지루하다	심심하다	사람은 너무 심심해지면, 주변의 자극을 찾기 위해 이리저리 눈동자를 움직인다고 한다.	이리저리 눈동자를 움직인다	심심함을 감추지 못한 채, 그는 불안정한 눈동자 움직임으로 계속 환경을 살폈다.	불안정한 눈동자 움직임으로	그녀는 심심하다는 듯  창밖을 응시했다. 이리저리 눈동자를 움직이며	눈동자를 움직이며																	
얼굴에 무표정함을 지니고 멍한 상태를 유지하다	지루하다	지루하다	무기력하다. 몸 뿐만 아니라 정신 또한 그렇다. 나는 멍한 상태로 무표정을 유지했다.	멍한 상태로 무표정을	그녀는 얼굴에 무표정함을 지니고 멍한 상태로 텔레비전을 보았다.	무표정함을 지니고 멍한 상태로	저기 밴치에 앉아 있는 노인은 아침부터 지금까지 멍하게 시간을 보내고 있다.	멍하게																	
자기 머리카락을 만지거나 끌어당기다	지루하다	심심하다	그녀가 머리를 계속 만지는 것은, 어떻게든 몸의 자극을 만들어 심심한 상태를 벗어나고자 하는 시도로 보여진다.	머리를 계속 만지는 것	할 일이 있는데도 머리카락이나 만지면서 시간을 떼우고 있다. 책임감 없어보였다.	머리카락이나 만지면서	자신의 뒷 머리를 계속해서 만질 뿐, 별 다른 일은 하지 않았다.	뒷 머리를 계속해서 만질 뿐																	
발을 지면에서 들어다 놓는다	지루하다	지루하다, 불안하다	미칠 듯한 지루함을 벗어나고 싶다. 계속해서 발을 동동거리며 들었다 놓았다. 	계속해서 발을 동동거리며 들었다 놓았다	엄마는 아이를 책상에 앉아있게 했지만, 아이는 심심한듯 발을 동동거렸다.	발을 동동거렸다	약속 시간이 한참 남았으나 발을 동동거리며 그녀가 오기를 기다렸다.	발을 동동거리며																	
시계를 자주 확인하다	지루하다	지루하다	모든 학생들의 눈은 시계를 향했다. 모두 수업이 끝나기를 애타게 기다린다.	눈은 시계를 향했다	상담 중에 시계를 보다니! 내담자는 틀림없이 상담자가 지루하다고 생각할 것이다.	시계를 보다니	시계를 몇 번째 보고 있는지 모르겠다. 확실한 건 그는 지루해하고 있다.	시계를 몇 번째 보고 있는지																	
자주 자리에서 일어나 돌아다닌다.	지루하다	심심하다	누구보다 빠르게 일을 끝낸 나는 자리에서 일어나 이리저리 기웃거렸다.	자리에서 일어나 이리저리 기웃거렸다	심심하지 않고선, 저렇게 자주 자리에서 일어나 돌아나지 않을 것이다.	자주 자리에서 일어나 돌아나지	도저히 못 견디겠어. 한마디를 던지고 일하고 있는 나를 두고 그는 자리에서 일어났다.	자리에서 일어났다																	
